rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/std
2000.0,2048,-2331.170052,121,16,1,,,,,,,,,,,
2000.0,4096,-2192.688451,41,99,2,-0.014162742611370049,-2.8008713953197004,0.0003,0.010738692,117.2438833028078,-0.0034612417221069336,10,0.065625,12.367156028747559,0.2,0.9596618413925171
2000.0,6144,-2051.192344,33,184,3,-0.012742707840516232,-2.711523326486349,0.0003,0.00947514,34.86642446368933,0.2733599543571472,20,0.0447265625,4.986649990081787,0.2,0.9212080240249634
2000.0,8192,-1950.07473025,30,268,4,-0.011025172016525175,-2.6308009549975395,0.0003,0.008377598,16.707414558529855,-0.10589861869812012,30,0.047705078125,3.7931954860687256,0.2,0.8926510810852051
2000.0,10240,-1817.7328478,28,353,5,-0.013512246009486261,-2.560666111856699,0.0003,0.009632402,16.516328591108323,-0.03488349914550781,40,0.07705078125,5.617173194885254,0.2,0.8676731586456299
2000.0,12288,-1713.1214896666668,28,437,6,-0.015089974820875795,-2.4689726658165454,0.0003,0.011030341,7.399605061113834,0.08590519428253174,50,0.066845703125,2.815868616104126,0.2,0.8279983997344971
2000.0,14336,-1593.924014142857,27,522,7,-0.01503137793915812,-2.3641495227813722,0.0003,0.009208372,5.695242837071419,0.13778287172317505,60,0.0578125,2.6381516456604004,0.2,0.7927738428115845
2000.0,16384,-1493.516501375,27,605,8,-0.015578435768838972,-2.268273314833641,0.0003,0.008991037,4.111840588599444,0.34514081478118896,70,0.0666015625,1.7852410078048706,0.2,0.7589539885520935
2000.0,18432,-1405.9590728888888,26,689,9,-0.022168467212759425,-2.1699810229241847,0.0003,0.014093418,2.539242119342089,0.23672980070114136,80,0.107861328125,0.9781041145324707,0.2,0.7295780181884766
2000.0,20480,-1327.3035673999998,26,773,10,-0.014778406306868419,-2.0736456230282783,0.0003,0.010518034,1.9330177780240774,-0.014662742614746094,90,0.066455078125,1.0331711769104004,0.2,0.7048232555389404
