time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,train/n_updates,train/clip_fraction,train/entropy_loss,train/std,train/loss,train/learning_rate,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_range
119,1,-2426.890714,17,2048,2000.0,,,,,,,,,,,
40,2,-2345.074221,100,4096,2000.0,0.006436467170715332,10,0.05361328125,-2.788247987627983,0.950135350227356,11.06704330444336,0.0003,0.0104403235,123.77839505970478,-0.0129410864203237,0.2
33,3,-2181.0348633333333,185,6144,2000.0,0.02716761827468872,20,0.07607421875,-2.706252921372652,0.9177759885787964,11.284092903137207,0.0003,0.010549278,67.74332683086395,-0.011763966719445306,0.2
30,4,-2039.46134175,270,8192,2000.0,-0.09976685047149658,30,0.06904296875,-2.627082273364067,0.8871209621429443,4.302358627319336,0.0003,0.012494255,20.518864099681377,-0.01192408685310511,0.2
28,5,-1884.1063922,356,10240,2000.0,-0.026473164558410645,40,0.08173828125,-2.546313297748566,0.856202244758606,5.788663864135742,0.0003,0.010653129,15.937253934144973,-0.014012433276366209,0.2
27,6,-1740.2226190000001,439,12288,2000.0,0.0012626051902770996,50,0.084716796875,-2.4376376673579214,0.8144562244415283,3.2767605781555176,0.0003,0.012640597,5.729311264306307,-0.018467204146145378,0.2
27,7,-1611.4657202857143,525,14336,2000.0,0.02353692054748535,60,0.068310546875,-2.3370944648981093,0.7835111618041992,2.1976139545440674,0.0003,0.01080659,4.167421139404178,-0.018632362270727752,0.2
26,8,-1496.93404825,610,16384,2000.0,0.05699187517166138,70,0.064697265625,-2.241491310298443,0.7472133636474609,0.8919192552566528,0.0003,0.012374233,2.4392882104963065,-0.01650776703754673,0.2
26,9,-1403.4157465555554,692,18432,2000.0,-0.04034388065338135,80,0.069384765625,-2.1457808405160903,0.7259699702262878,0.9251821041107178,0.0003,0.011187055,2.3837520234286784,-0.01565816568036098,0.2
26,10,-1318.0020311,777,20480,2000.0,-0.07397186756134033,90,0.092333984375,-2.0652013286948203,0.7045599818229675,0.6275659203529358,0.0003,0.013136836,1.9368065260350704,-0.01822386506246403,0.2
26,11,-1238.8470052727273,861,22528,2000.0,-0.02985858917236328,100,0.054052734375,-1.9776158556342125,0.6805284023284912,0.550605297088623,0.0003,0.010381543,1.942544445209205,-0.014435993022925687,0.2
26,12,-1168.9661188333334,945,24576,2000.0,-0.005616307258605957,110,0.04775390625,-1.8841932773590089,0.6547712087631226,0.3523271381855011,0.0003,0.008553764,1.4829641155898572,-0.01342146093957126,0.2
25,13,-1106.346144,1026,26624,2000.0,-0.0009919404983520508,120,0.07314453125,-1.7893998712301253,0.6385218501091003,0.23275531828403473,0.0003,0.009899486,1.1987408546730876,-0.015246381992619717,0.2
25,14,-1048.7681202857145,1111,28672,2000.0,0.00895547866821289,130,0.0900390625,-1.7007293041795493,0.6164942383766174,0.2228299081325531,0.0003,0.01295891,0.9445851636119187,-0.016917850280879065,0.2
25,15,-997.0594615333335,1193,30720,2000.0,-0.021187663078308105,140,0.075537109375,-1.6076820049434901,0.5950018167495728,0.16500185430049896,0.0003,0.01206471,0.8676280362997204,-0.01444757691497216,0.2
25,16,-948.5459523125,1275,32768,2000.0,0.0002791285514831543,150,0.0638671875,-1.5128775514662265,0.5764009952545166,0.10697987675666809,0.0003,0.012451971,0.7054434065707028,-0.012785302285919897,0.2
25,17,-904.0244735294118,1361,34816,2000.0,-0.004459261894226074,160,0.058935546875,-1.4203750796616077,0.5603830814361572,0.05513712018728256,0.0003,0.009534884,0.5195486714364961,-0.012459897497319617,0.2
25,18,-863.4276807222224,1454,36864,2000.0,-0.0019414424896240234,170,0.06015625,-1.330192007496953,0.5417001247406006,0.016421303153038025,0.0003,0.009214348,0.44894683931488544,-0.013218752502871212,0.2
25,19,-825.711927894737,1539,38912,2000.0,-0.0005224943161010742,180,0.092333984375,-1.233460808172822,0.5227356553077698,0.02200350910425186,0.0003,0.012589108,0.3708305289153941,-0.015566834733181167,0.2
