time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/std,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
110,18,2048,1,2000.0,-2749.757314,,,,,,,,,,,
39,105,4096,2,2000.0,-2428.2050465,164.2939998149872,0.9575055241584778,0.2,0.0003,10,0.011544399,-0.005124449729919434,15.884159088134766,-2.8000190295279026,0.054833984375,-0.010801411412103334
31,193,6144,3,2000.0,-2215.851827666667,51.545384389162066,0.9163089990615845,0.2,0.0003,20,0.01220068,-0.019602179527282715,6.536365509033203,-2.7050359986722468,0.056884765625,-0.012103379276231863
29,277,8192,4,2000.0,-2018.6431385,20.399788895249365,0.8751009106636047,0.2,0.0003,30,0.0096060345,-0.04589807987213135,6.492846965789795,-2.6066045612096786,0.06748046875,-0.012096201167150867
28,363,10240,5,2000.0,-1865.3079714,8.234419686347247,0.8310701847076416,0.2,0.0003,40,0.011268552,-0.0025014877319335938,3.0628437995910645,-2.493458406627178,0.08857421875,-0.017623167730198473
27,451,12288,6,2000.0,-1711.9777885,6.335909720510244,0.7921253442764282,0.2,0.0003,50,0.008827159,0.01813298463821411,3.6280782222747803,-2.383399972319603,0.059375,-0.01662256877461914
26,536,14336,7,2000.0,-1593.6210052857143,3.756645856425166,0.7661658525466919,0.2,0.0003,60,0.0101177525,-0.0635446310043335,1.5899529457092285,-2.291444142907858,0.079052734375,-0.017649323240038938
26,619,16384,8,2000.0,-1484.423607875,3.033937093243003,0.7334945201873779,0.2,0.0003,70,0.012349571,0.030271291732788086,1.2117793560028076,-2.194459629058838,0.06650390625,-0.018248957404284737
26,700,18432,9,2000.0,-1384.0847948888888,1.8472242765128613,0.7025833129882812,0.2,0.0003,80,0.010376418,0.03160858154296875,0.8200690150260925,-2.0938939973711967,0.06142578125,-0.01616090352908941
26,782,20480,10,2000.0,-1297.510771,1.763413724116981,0.6841939091682434,0.2,0.0003,90,0.007986201,0.10222190618515015,0.6037659645080566,-2.0071732442826034,0.04140625,-0.014385049512929982
26,864,22528,11,2000.0,-1218.1217419090908,1.323008167743683,0.6517183780670166,0.2,0.0003,100,0.012301106,0.17126315832138062,0.3735526204109192,-1.9107084274291992,0.074462890625,-0.017121158486406784
25,948,24576,12,2000.0,-1148.54018625,1.3751905317418278,0.6224220991134644,0.2,0.0003,110,0.00810595,-0.29620885848999023,0.3599839210510254,-1.797110678628087,0.04677734375,-0.014550500960467616
25,1029,26624,13,2000.0,-1085.673540076923,1.2381333220750093,0.597626805305481,0.2,0.0003,120,0.013309246,0.006547510623931885,0.22140932083129883,-1.6962025467306376,0.058447265625,-0.01569348273042124
25,1111,28672,14,2000.0,-1027.6551632142857,0.8541874326299876,0.5754188299179077,0.2,0.0003,130,0.0098180175,0.00857079029083252,0.17234590649604797,-1.5936645522713662,0.055810546875,-0.013459418795537203
